occurrence_no,record_type,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,phylum,class,order,family,genus,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,geogscale,paleolng,paleolat,geoplate,formation,stratgroup,member,environment,pres_mode,taxon_environment
221284,occ,22715,Seymouria,genus,37223,Kungurian,,279.3,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Seymouriidae,Seymouria,9,individuals,-99.2369,33.797699,,West Coffee Creek,,"ETE Locality 1591, Reptile B, West Coffee Creek, ",US,Texas,Baylor,,-28.93,1.81,101,Arroyo,Clear Fork,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
221285,occ,22716,Diplocaulus,genus,37264,Kungurian,,279.3,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,360,individuals,-99.771301,32.942402,,Rowland Site,,"ETE Locality 1592, Rowland Site, ",US,Texas,Jones,local area,-29.75,1.3,101,Vale,,,"""channel""",,"brackish,freshwater,terrestrial"
221286,occ,22716,Trimerorhachis,genus,36991,Kungurian,,279.3,272.3,Chordata,Osteichthyes,Temnospondyli,Trimerorhachidae,Trimerorhachis,32,individuals,-99.771301,32.942402,,Rowland Site,,"ETE Locality 1592, Rowland Site, ",US,Texas,Jones,local area,-29.75,1.3,101,Vale,,,"""channel""",,"brackish,freshwater,terrestrial"
221287,occ,22716,Eryopidae,family,37007,Kungurian,,279.3,272.3,Chordata,Osteichthyes,Temnospondyli,Eryopidae,,8,individuals,-99.771301,32.942402,ETE minimum number of individuals; species: Eryopidae,Rowland Site,,"ETE Locality 1592, Rowland Site, ",US,Texas,Jones,local area,-29.75,1.3,101,Vale,,,"""channel""",,"brackish,freshwater,terrestrial"
229267,occ,22661,Diictodon,genus,39075,Wuchiapingian,,259.9,254.17,Chordata,Osteichthyes,Dicynodontia,Pylaecephalidae,Diictodon,12,individuals,22.014444,-32.147778,,Leeukloof,,"Leeupoort, Leeuwkloof, ETE Locality 1536",ZA,Western Cape,Beaufort West,outcrop,-21.02,-50.36,701,Teekloof,Beaufort,,crevasse splay,body,terrestrial
229268,occ,22662,Diictodon,genus,39075,Capitanian,Wuchiapingian,265.1,254.17,Chordata,Osteichthyes,Dicynodontia,Pylaecephalidae,Diictodon,14,specimens,21.5166,-31.916599,,Wilgerboschkloof,,"ETE Locality 1537, Wilgerboschkloof, ",ZA,,,outcrop,-23.91,-50.8,701,Teekloof,,,fluvial indet.,,terrestrial
229269,occ,22667,Parioxys ferricolus,species,345270,Asselian,Sakmarian,298.9,290.1,Chordata,Osteichthyes,Temnospondyli,Dissorophidae,Parioxys,8,specimens,-98.540001,33.439999,MCZ 1162 (skeletal remains of 8 individuals),Parioxys site,,"ETE Locality 1542, Parioxys site, near Dundee",US,Texas,Baylor,,-30.38,-1.97,101,Belle Plains,Wichita,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
229270,occ,22668,Acheloma,genus,37048,Artinskian,,290.1,279.3,Chordata,Osteichthyes,Temnospondyli,Trematopidae,Acheloma,5,specimens,-98.949997,33.633301,,Williams Ranch 1,,"ETE Locality 1543, Williams Ranch 1, ",US,Texas,,,-30.27,-1.13,101,,,,terrestrial indet.,,"brackish,freshwater,terrestrial"
229271,occ,22669,Parioxys,genus,37052,Artinskian,,290.1,279.3,Chordata,Osteichthyes,Temnospondyli,Dissorophidae,Parioxys,2,specimens,-98.949997,33.633301,,Williams Ranch 2,,ETE Locality 1544,US,Texas,,,-30.27,-1.13,101,,,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
229272,occ,22670,Conodectes favosus,species,138237,Kungurian,,279.3,272.3,Chordata,Osteichthyes,Cotylosauria,Conodectidae,Conodectes,4,specimens,-99.233299,33.783298,,Gray Creek,,"ETE Locality 1545, Gray Creek, ",US,Texas,,,-28.93,1.79,101,,,,terrestrial indet.,,"brackish,freshwater,terrestrial"
229273,occ,22671,Dissorophus multicinctus,species,255227,Kungurian,,279.3,272.3,Chordata,Osteichthyes,Temnospondyli,Dissorophidae,Dissorophus,6,specimens,-99.233299,33.783298,MCZ specimen,Indian Creek,,"ETE Locality 1546, Indian Creek, ",US,Texas,,,-28.93,1.79,101,,,,terrestrial indet.,,"brackish,freshwater,terrestrial"
279623,occ,26710,Bradysaurus seeleyi,species,144595,Capitanian,,265.1,259.9,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Bradysaurus,1,individuals,21.795279,-32.328609,BMNH 49426,Palmietfontein,,"Palinut Fontein, Palmiet Fontein",ZA,Western Cape,Beaufort West,small collection,-27.73,-52.68,701,Abrahamskraal,Beaufort,,"""floodplain""",body,terrestrial
285528,occ,27133,Carrolla craddocki,species,227004,Artinskian,,290.1,279.3,Chordata,Osteichthyes,Cotylosauria,Brachystelechidae,Carrolla,1,individuals,-98.901947,33.740276,,South side of Tit Mountain butte,,TMM 40031 (Belle Plains Formation),US,Texas,Archer,outcrop,-30.18,-1.06,101,Belle Plains,,,terrestrial indet.,body,terrestrial
285753,occ,27160,Youngetta dongshengensis,species,154293,Early Triassic,,252.17,247.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Procolophonidae,Youngetta,1,individuals,110,39.8125,IVPP V 6073 (type),Wusilangou (Dongsheng Town),,(Shih-Tien-Feng Formation); Hantai Valley,CN,Nei Mongol,,,117.4,15.81,604,"""Shihtienfeng""",,,terrestrial indet.,body,terrestrial
286238,occ,27263,Lysipterygium,genus,345841,Asselian,Sakmarian,298.9,290.1,Chordata,Osteichthyes,Temnospondyli,Lysipterygiidae,Lysipterygium,1,specimens,74.908333,34.041668,YPM 2163 (holotype),Risin Spur (Gangamopteris Shales),,Lower Gondwanan series,IN,Kashmir,,,61.41,-55.08,501,,,,terrestrial indet.,"body,mold/impression","brackish,freshwater,terrestrial"
286240,occ,27263,Kashmirosaurus ornatus,species,345879,Asselian,Sakmarian,298.9,290.1,Chordata,Osteichthyes,Temnospondyli,Archegosauridae,Kashmirosaurus,,,74.908333,34.041668,,Risin Spur (Gangamopteris Shales),,Lower Gondwanan series,IN,Kashmir,,,61.41,-55.08,501,,,,terrestrial indet.,"body,mold/impression","brackish,freshwater,terrestrial"
286245,occ,27265,Lystrosaurus maccaigi,species,122672,Early Triassic,,252.17,247.2,Chordata,Osteichthyes,Dicynodontia,Lystrosauridae,Lystrosaurus,1,individuals,-174.833328,-85.133331,WSU 0974,"Shenk Peak (Fremouw Fm., 28 m above base of section)",,Cumulus Hills,AA,,,small collection,20.22,-72.48,802,Fremouw,Beacon,,"""floodplain""",body,terrestrial
286246,occ,27266,Lystrosaurus maccaigi,species,122672,Early Triassic,,252.17,247.2,Chordata,Osteichthyes,Dicynodontia,Lystrosauridae,Lystrosaurus,1,individuals,-174.833328,-85.133331,AMNH 9505; specimen listed as Lystrosaurus sp. in Colbert (1974 p. 5),Thrinaxodon Col (Fremouw Formation),,Mount Kenyon; Cumulus Hills,AA,,,local area,20.22,-72.48,802,Fremouw,Beacon,,fluvial indet.,"body,mold/impression",terrestrial
286782,occ,27341,Belebey vegrandis,species,137776,Urzhumian,,268,265,Chordata,Reptilia,NO_ORDER_SPECIFIED,Bolosauridae,Belebey,3,specimens,54.125,54.108334,"PIN 164/50 (type), 164/51, 164/52 (all are maxillae); catalogue numbers of specimens other than the type are from Ivakhnenko (2008); see comments on taxonomic list for notes on confusion concerning catalogue numbers","Belebei, PIN 164",,Belebey Suite,RU,Bashkortostan,Belebei,outcrop,51.51,30.26,302,Belebei,,,fluvial indet.,body,terrestrial
286783,occ,27343,Vitalia grata,species,162200,Olenekian,,251.2,247.2,Chordata,Osteichthyes,Cotylosauria,NO_FAMILY_SPECIFIED,Vitalia,3,specimens,43.673058,49.260834,"PIN 4173/126 (SGU 104/3105) (type; prevoiusly included in the hypodigm of Coelodontognathus donensis by Ochev, 1967), PIN 1043/627, 1043/628; all are dentaries; current catalogue number of type and catalogue numbers of referred specimens are from Arkhangelskii & Sennikov (2008)",Lipovskaya gully (Donskaya Luka),,Lipovaya Balka,RU,Volgograd,Ilovlya,outcrop,53.92,34.33,302,Lipovskaya,,,terrestrial indet.,body,terrestrial
287346,occ,27414,Cotylorhynchus bransoni,species,120922,Roadian,Wordian,272.3,265.1,Chordata,Osteichthyes,Cotylosauria,Caseidae,Cotylorhynchus,1,elements,-98.358887,35.995556,CNHM UR 972 (caudal vertebra),BC-6 (Chickasha Formation),,Chickasha Tongue; Flowerpot Shale; Flowerpot Formation,US,Oklahoma,Blaine,outcrop,-24.96,8,101,Chickasha,El Reno,,"""floodplain""",body,terrestrial
287347,occ,27414,Angelosaurus romeri,species,120923,Roadian,Wordian,272.3,265.1,Chordata,Osteichthyes,Cotylosauria,Caseidae,Angelosaurus,1,elements,-98.358887,35.995556,CNHM UR 977 (femur),BC-6 (Chickasha Formation),,Chickasha Tongue; Flowerpot Shale; Flowerpot Formation,US,Oklahoma,Blaine,outcrop,-24.96,8,101,Chickasha,El Reno,,"""floodplain""",body,terrestrial
287720,occ,27414,Nannospondylus,genus,36988,Roadian,Wordian,272.3,265.1,Chordata,Osteichthyes,Temnospondyli,Trimerorhachidae,Nannospondylus,1,individuals,-98.358887,35.995556,CNHM UR 1002 (type),BC-6 (Chickasha Formation),,Chickasha Tongue; Flowerpot Shale; Flowerpot Formation,US,Oklahoma,Blaine,outcrop,-24.96,8,101,Chickasha,El Reno,,"""floodplain""",body,"brackish,freshwater,terrestrial"
287907,occ,27484,Amniota,unranked clade,53189,Roadian,Wordian,272.3,265.1,Chordata,Osteichthyes,Cotylosauria,,,1,specimens,-98.223335,35.953056,"CNHM UR 921; ""appears to be part of a reptilian jaw""",BC-10 (Chickasha Formation),,Chickasha Tongue; Flowerpot Shale; Flowerpot Formation,US,Oklahoma,Blaine,small collection,-24.88,7.91,101,Chickasha,El Reno,,"""channel""",body,terrestrial
