occurrence_no,record_type,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,phylum,class,order,family,genus,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,geogscale,paleolng,paleolat,geoplate,formation,stratgroup,member,environment,pres_mode,taxon_environment
799682,occ,87040,Platyoposaurus stuckenbergi,species,142449,Urzhumian,,268,265,Chordata,Osteichthyes,Temnospondyli,Archegosauridae,Platyoposaurus,1,individuals,50.75,56.333332,PIN 49/1 (type),Akbatyrovskii Mine,,Akbatyirov Mine,RU,Kirov,Malmysh,outcrop,48.17,30.9,302,,,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799683,occ,87040,Melosaurus,genus,37063,Urzhumian,,268,265,Chordata,Osteichthyes,Temnospondyli,Archegosauridae,Melosaurus,,,50.75,56.333332,,Akbatyrovskii Mine,,Akbatyirov Mine,RU,Kirov,Malmysh,outcrop,48.17,30.9,302,,,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799684,occ,87040,Syodon,genus,38959,Urzhumian,,268,265,Chordata,Osteichthyes,Cotylosauria,Anteosauridae,Syodon,,,50.75,56.333332,,Akbatyrovskii Mine,,Akbatyirov Mine,RU,Kirov,Malmysh,outcrop,48.17,30.9,302,,,,terrestrial indet.,body,terrestrial
799787,occ,28256,Diplocaulus brevirostris,species,142470,Kungurian,,279.3,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,4,individuals,-99.216667,33.766666,"AMNH 4470 (type), 4544; CNHM UC 1655, 1661","Coffee Creek, 34 (Arroyo Formation)",,"Locality 34 (Romer 1928), faunal Zone 4, Lower Clear Fork Group, Texas red-beds, redbeds; Locality VIIa (Romer & Price 1940); ""Labidosaurus pocket""; Coffee Creek Bonebed; West Coffee Creek; Middle Coffee Creek; East Coffee Creek",US,Texas,Baylor/Willbarger,local area,-28.93,1.77,101,Arroyo,Clear Fork,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799788,occ,28267,Diplocaulus magnicornis,species,81712,Kungurian,,279.3,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,1,individuals,-99.26667,33.700001,CNHM UC 564 (type),"Craddock Bonebed, Brush Creek, 38 (Arroyo Formation)",,"Locality 38 (Romer 1928), Craddock's ranch, Craddock bone bed, Brushy Creek, Bushy Creek, faunal Zone 4, Lower Clear Fork Group, Texas red-beds, redbeds",US,Texas,Baylor,local area,-29,1.73,101,Arroyo,Clear Fork,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799789,occ,28267,Diplocaulus brevirostris,species,142470,Kungurian,,279.3,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,1,individuals,-99.26667,33.700001,CNHM UC 1648,"Craddock Bonebed, Brush Creek, 38 (Arroyo Formation)",,"Locality 38 (Romer 1928), Craddock's ranch, Craddock bone bed, Brushy Creek, Bushy Creek, faunal Zone 4, Lower Clear Fork Group, Texas red-beds, redbeds",US,Texas,Baylor,local area,-29,1.73,101,Arroyo,Clear Fork,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799790,occ,28256,Diplocaulus,genus,37264,Kungurian,,279.3,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,44,specimens,-99.216667,33.766666,Romer (1928) reports 72 Diplocaulus specimens total; since Olson (1951) refers only 28 specimens from this locality to particular species the remainder (no catalogue numbers given) are listed here as Diplocaulus sp.,"Coffee Creek, 34 (Arroyo Formation)",,"Locality 34 (Romer 1928), faunal Zone 4, Lower Clear Fork Group, Texas red-beds, redbeds; Locality VIIa (Romer & Price 1940); ""Labidosaurus pocket""; Coffee Creek Bonebed; West Coffee Creek; Middle Coffee Creek; East Coffee Creek",US,Texas,Baylor/Willbarger,local area,-28.93,1.77,101,Arroyo,Clear Fork,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799791,occ,28275,Diplocaulus magnicornis,species,81712,Kungurian,,279.3,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,2,specimens,-99.195557,33.973057,"CNHM UC 1013, 1015; assignment to this locality not certain for the latter ","Beaver Creek, 42 (Arroyo Formation)",,"Locality 42 (Romer 1928), Beaver Creek Wilbarger County, faunal Zone 4, Lower Clear Fork Group, Texas red-beds, redbeds",US,Texas,Wilbarger,outcrop,-28.81,1.94,101,Arroyo,Clear Fork,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799792,occ,28261,Diplocaulus magnicornis,species,81712,Kungurian,,279.3,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,1,individuals,-99.144997,33.755001,CNHM UC 1317; specimen is deducted from Romer's (1928) original 14 occurences of Diplocaulus sp.,"Pony Creek, 36 (Arroyo Formation)",,"Locality 36 (Romer 1928), faunal Zone 4, Lower Clear Fork Group, Texas red-beds, redbeds",US,Texas,Baylor,outcrop,-28.88,1.73,101,Arroyo,Clear Fork,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799793,occ,28270,Diplocaulus magnicornis,species,81712,Kungurian,,279.3,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,3,specimens,-99.312775,33.714722,"AMNH 4472, 4485, 4501; these specimens were deducted from Romer's (1928) 6 occurences of ""Diplocaulus sp.""","Hog Creek, 39 (Arroyo Formation)",,"Locality 39 (Romer 1928), faunal Zone 4, Lower Clear Fork Group, Texas red-beds, redbeds",US,Texas,Baylor,outcrop,-29.02,1.77,101,Arroyo,Clear Fork,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799799,occ,87054,Bolosaurus striatus,species,138029,Leonard,,290.1,268,Chordata,Reptilia,NO_ORDER_SPECIFIED,Bolosauridae,Bolosaurus,1,individuals,-97.76667,36.766666,"complete right dentary, no catalogue no. given ",OMNH locality V114,,"Grant Co., OK",US,Oklahoma,Grant,small collection,-27.42,1.76,101,Garber,Sumner,,terrestrial indet.,body,terrestrial
799800,occ,87054,Ophiacodon uniformis,species,138049,Leonard,,290.1,268,Chordata,Osteichthyes,Cotylosauria,Ophiacodontidae,Ophiacodon,1,individuals,-97.76667,36.766666,no catalogue no. given; specimen is missing,OMNH locality V114,,"Grant Co., OK",US,Oklahoma,Grant,small collection,-27.42,1.76,101,Garber,Sumner,,terrestrial indet.,body,terrestrial
799801,occ,87054,Clepsydrops,genus,38887,Leonard,,290.1,268,Chordata,Osteichthyes,Cotylosauria,Ophiacodontidae,Clepsydrops,1,individuals,-97.76667,36.766666,neural spine and postzygapophyses; no catalogue no. given; specimen is missing,OMNH locality V114,,"Grant Co., OK",US,Oklahoma,Grant,small collection,-27.42,1.76,101,Garber,Sumner,,terrestrial indet.,body,terrestrial
799802,occ,87054,Dimetrodon,genus,38904,Leonard,,290.1,268,Chordata,Osteichthyes,Cotylosauria,Sphenacodontidae,Dimetrodon,1,individuals,-97.76667,36.766666,"OMNH 00603, 15060-15062 + some unnumbered, missing elements; no elements are double, so not more than one individual might be represented",OMNH locality V114,,"Grant Co., OK",US,Oklahoma,Grant,small collection,-27.42,1.76,101,Garber,Sumner,,terrestrial indet.,body,terrestrial
799808,occ,87054,Eryops megacephalus,species,70397,Leonard,,290.1,268,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,1,individuals,-97.76667,36.766666,"OMNH 10030, single intercentrum",OMNH locality V114,,"Grant Co., OK",US,Oklahoma,Grant,small collection,-27.42,1.76,101,Garber,Sumner,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799809,occ,87054,Trimerorhachis,genus,36991,Leonard,,290.1,268,Chordata,Osteichthyes,Temnospondyli,Trimerorhachidae,Trimerorhachis,1,individuals,-97.76667,36.766666,"fragment of right lower jaw, no catalogue number given; specimen is missing",OMNH locality V114,,"Grant Co., OK",US,Oklahoma,Grant,small collection,-27.42,1.76,101,Garber,Sumner,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
799826,occ,27341,Rhipaeosaurus tricuspidens,species,142489,Urzhumian,,268,265,Chordata,Reptilia,NO_ORDER_SPECIFIED,Nycteroleteridae,Rhipaeosaurus,1,individuals,54.125,54.108334,PIN 164/2 (type),"Belebei, PIN 164",,Belebey Suite,RU,Bashkortostan,Belebei,outcrop,51.51,30.26,302,Belebei,,,fluvial indet.,body,terrestrial
800077,occ,87091,Captorhinikos chozaensis,species,120856,Kungurian,,279.3,272.3,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,Captorhinikos,3,individuals,-97.433334,35.233334,CNHM UR 857 to 859,Norman,,,US,Oklahoma,Cleveland,small collection,-26.92,2.3,101,Hennessey,,,terrestrial indet.,body,terrestrial
800078,occ,87092,Captorhinikos chozaensis,species,120856,Kungurian,,279.3,272.3,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,Captorhinikos,1,individuals,-97.35833,35.141666,USNM 21275,Noble,,USNM 21275,US,Oklahoma,Cleveland,hand sample,-26.91,2.19,101,Hennessey,,,terrestrial indet.,body,terrestrial
800079,occ,84719,Intasuchus silvicola,species,142538,Ufimian,,279.5,272.5,Chordata,Osteichthyes,Temnospondyli,Intasuchidae,Intasuchus,1,individuals,60.049999,66.033333,"PIN 570/1, skull (type)","Inta city, PIN 570, PIN 3950",,,RU,Komi,Inta,outcrop,38.06,35.78,302,Inta,,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
800080,occ,84719,Syndyodosuchus tetricus,species,142539,Ufimian,,279.5,272.5,Chordata,Osteichthyes,Temnospondyli,Actinodontidae,Syndyodosuchus,3,specimens,60.049999,66.033333,"PIN 570/40, skull (type). PIN 570/6, 41, tooth-bearing fragments","Inta city, PIN 570, PIN 3950",,,RU,Komi,Inta,outcrop,38.06,35.78,302,Inta,,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
800149,occ,87102,Eotitanosuchus olsoni,species,142589,Urzhumian,,268,265,Chordata,Osteichthyes,Cotylosauria,NO_FAMILY_SPECIFIED,Biarmosuchus,3,individuals,54.706669,57.813332,"PIN 1758/1 (type), 1758/85, 1758/319; specimens listed besides the type are reported by Battail & Surkov (2000)","Ezhovo Locality, PIN 1758",,"Ocher Localities, Yezhovo, ",RU,Perm,Ocher,outcrop,49.13,33.38,302,,,,delta plain,"body,concretion,recrystallized,permineralized,replaced with calcite",terrestrial
800924,occ,87102,Biarmosuchus tener,species,335875,Urzhumian,,268,265,Chordata,Osteichthyes,Cotylosauria,NO_FAMILY_SPECIFIED,Biarmosuchus,1,individuals,54.706669,57.813332,PIN 1758/292 (type),"Ezhovo Locality, PIN 1758",,"Ocher Localities, Yezhovo, ",RU,Perm,Ocher,outcrop,49.13,33.38,302,,,,delta plain,"body,concretion,recrystallized,permineralized,replaced with calcite",terrestrial
803135,occ,87410,Procolophon trigoniceps,species,56758,Early Triassic,,252.17,247.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Procolophonidae,Procolophon,7,specimens,-177,-85.216667,"AMNH 9501, 9506, 9508-12",Kitching Ridge (Fremouw Fm.),,Cumulus Hills,AA,,,outcrop,20.67,-72.34,802,Fremouw,Beacon,Lower,fluvial indet.,"body,mold/impression",terrestrial
803158,occ,87414,Procolophon trigoniceps,species,56758,Early Triassic,,252.17,247.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Procolophonidae,Procolophon,3,individuals,-175.5,-85.216667,"AMNH 9518 (two partial skulls), 9533 (badly crushed skull)","Collinson Ridge (Fremouw Fm., 85 m above base)",,Cumulus Hills; Halfmoon Bluff; Sentinel Hill,AA,,,small collection,20.29,-72.39,802,Fremouw,Beacon,,fluvial indet.,body,terrestrial
806750,occ,28250,Araeoscelis casei,species,138981,Artinskian,Kungurian,290.1,272.3,Chordata,Reptilia,Araeoscelidia,Araeoscelidae,Araeoscelis,5,individuals,-99.091667,33.733334,"MCZ 1259 to 1262, 1708","Mitchell Creek, 29 (Waggoner Ranch Formation)",,"Locality 29 (Romer 1928), old Bar X pasture, Timber Creek, faunal Zone 3, Upper Wichita Group, Texas red-beds, redbeds, Lucas Ranch",US,Texas,Baylor,local area,-30.29,-0.93,101,Waggoner Ranch,Wichita,,terrestrial indet.,body,terrestrial
806914,occ,13043,Procolophon trigoniceps,species,56758,Induan,Olenekian,252.17,247.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Procolophonidae,Procolophon,1,individuals,26.509722,-32.10611,BMNH R1727 (holotype),Donnybrook (Queenstown District),,Donnybrooke; Tafelberg; Swart Kei River,ZA,Eastern Cape,Chris Hani,small collection,-11.67,-51.38,701,Katberg,Beaufort,,fluvial indet.,body,terrestrial
806953,occ,28256,Labidosaurus hamatus,species,134856,Kungurian,,279.3,272.3,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,Labidosaurus,32,specimens,-99.216667,33.766666,"AMNH 4406, 4414, 4417, 4421, 4427; CNHM ?*, CNHM UR 161, 273,  UC ?*, UC 180, 634*, 643, 724-726, 728-730, 732, 1059, 1199, P 12758; CM 73370 (formerly UCLA VP 3167), CM 73371 (formerly UCLA VP 3200), CM 76876; UCLA VP 435, 436, 3115, 3491; USNM 17045; MCZ 8923; catalogue numbers are from Seltin (1959); specimens not reported by Seltin are compiled from Sumida (1987, 1989) and Modesto (2007); asterisks mark specimens of which the locality is not precisely known but come from the Arroyo Fm. of Baylor Co.","Coffee Creek, 34 (Arroyo Formation)",,"Locality 34 (Romer 1928), faunal Zone 4, Lower Clear Fork Group, Texas red-beds, redbeds; Locality VIIa (Romer & Price 1940); ""Labidosaurus pocket""; Coffee Creek Bonebed; West Coffee Creek; Middle Coffee Creek; East Coffee Creek",US,Texas,Baylor/Willbarger,local area,-28.93,1.77,101,Arroyo,Clear Fork,,terrestrial indet.,body,terrestrial
807183,occ,13043,Paliguana whitei,species,144690,Induan,Olenekian,252.17,247.2,Chordata,Reptilia,Eosuchia,NO_FAMILY_SPECIFIED,Paliguana,1,individuals,26.509722,-32.10611,AM 3585,Donnybrook (Queenstown District),,Donnybrooke; Tafelberg; Swart Kei River,ZA,Eastern Cape,Chris Hani,small collection,-11.67,-51.38,701,Katberg,Beaufort,,fluvial indet.,body,terrestrial
807184,occ,27266,Procolophon trigoniceps,species,56758,Early Triassic,,252.17,247.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Procolophonidae,Procolophon,1,individuals,-174.833328,-85.133331,AMNH 9507,Thrinaxodon Col (Fremouw Formation),,Mount Kenyon; Cumulus Hills,AA,,,local area,20.22,-72.48,802,Fremouw,Beacon,,fluvial indet.,"body,mold/impression",terrestrial
807186,occ,87420,Thrinaxodon liorhinus,species,144734,Early Triassic,,252.17,247.2,Chordata,Osteichthyes,Cotylosauria,NO_FAMILY_SPECIFIED,Thrinaxodon,2,specimens,172.5,-85.050003,"AMNH 9546, 9547",Graphite Peak (Fremouw Fm.),,,AA,,,small collection,23.46,-72.04,802,Fremouw,Beacon,,fluvial indet.,body,terrestrial
807229,occ,27266,Thrinaxodon liorhinus,species,144734,Early Triassic,,252.17,247.2,Chordata,Osteichthyes,Cotylosauria,NO_FAMILY_SPECIFIED,Thrinaxodon,12,specimens,-174.833328,-85.133331,"AMNH 9500, 9516, 9517, 9524, 9528, 9529, 9534, 9553, 9555, 9563, 9570, 9571",Thrinaxodon Col (Fremouw Formation),,Mount Kenyon; Cumulus Hills,AA,,,local area,20.22,-72.48,802,Fremouw,Beacon,,fluvial indet.,"body,mold/impression",terrestrial
807230,occ,27266,Cynodontia,infraorder,39168,Early Triassic,,252.17,247.2,Chordata,Osteichthyes,Cotylosauria,,,2,specimens,-174.833328,-85.133331,"AMNH 9523, 9554; possibly large representatives of the genus Thrinaxodon",Thrinaxodon Col (Fremouw Formation),,Mount Kenyon; Cumulus Hills,AA,,,local area,20.22,-72.48,802,Fremouw,Beacon,,fluvial indet.,"body,mold/impression",terrestrial
807231,occ,87420,Brachyopoidea,superfamily,120926,Early Triassic,,252.17,247.2,Chordata,Osteichthyes,Temnospondyli,,,1,individuals,172.5,-85.050003,"""fragment of a labyrinthodont amphibian lower jaw""",Graphite Peak (Fremouw Fm.),,,AA,,,small collection,23.46,-72.04,802,Fremouw,Beacon,,fluvial indet.,body,"brackish,freshwater,terrestrial"
807686,occ,88282,Thrinaxodon liorhinus,species,144734,Induan,Olenekian,252.17,247.2,Chordata,Osteichthyes,Cotylosauria,NO_FAMILY_SPECIFIED,Thrinaxodon,30,individuals,29.125,-28.275,"""about 30 skulls of Thrinaxodon (very frequently with skeletal remains attached)""",Harrismith Commonage,,"""Old Brickfield"" Donga",ZA,Free State,Maluti-A-Phofung,local area,-4.64,-50.81,701,Normandien,Beaufort,Harrismith,terrestrial indet.,body,terrestrial
807747,occ,88300,Thrinaxodon liorhinus,species,144734,Induan,Olenekian,252.17,247.2,Chordata,Osteichthyes,Cotylosauria,NO_FAMILY_SPECIFIED,Thrinaxodon,6,individuals,25.475,-30.5,,Farm in Bethulie District,,,ZA,Free State,Kopanong,outcrop,-10.46,-49.71,701,,Beaufort,,terrestrial indet.,body,terrestrial
807814,occ,80219,Youngina capensis,species,77037,Wuchiapingian,Changhsingian,259.9,252.17,Chordata,Reptilia,Eosuchia,Younginidae,Youngina,2,individuals,24.549999,-31.866667,"AMNH 5561 (type), TM200",New Bethesda Commonage,,Nieu-Bethesda,ZA,Eastern Cape,Camdeboo,local area,-17.98,-51.75,701,Balfour,Beaufort,,terrestrial indet.,"body,permineralized",terrestrial
808133,occ,88342,Youngina capensis,species,77037,Wuchiapingian,Changhsingian,259.9,252.17,Chordata,Reptilia,Eosuchia,Younginidae,Youngina,1,individuals,23.863333,-32.104168,FMNH UC 1528,Toverwater,,Towerwater,ZA,Western Cape,Central Karoo,outcrop,-18.78,-51.37,701,Balfour,Beaufort,,"""floodplain""",body,terrestrial
808154,occ,84714,Youngina capensis,species,77037,Wuchiapingian,,259.9,254.17,Chordata,Reptilia,Eosuchia,Younginidae,Youngina,5,individuals,22.4,-31.924999,SAM K7710 (assemblage of 5 juvenile individuals); see comments on taxonomic list,Leeukloof 43,,"Leeuw Kloof, Leeuwkloof",ZA,Western Cape,Beaufort West,small collection,-20.47,-50.54,701,Teekloof,Beaufort,Hoedemaker,dry floodplain,"body,permineralized",terrestrial
808649,occ,88394,Eunotosaurus africanus,species,56889,Capitanian,,265.1,259.9,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Eunotosaurus,2,individuals,22.378332,-31.135,BP/1/5677; NMQR 3466,Alarmkraal,,,ZA,Northern Cape,Kareeberg,small collection,-25.6,-52.67,701,Abrahamskraal,Beaufort,,"""floodplain""",body,terrestrial
814094,occ,89607,Moradisaurinae,subfamily,134808,Wuchiapingian,,259.9,254.17,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,,1,individuals,-9.089167,30.825832,"MNHN ARG 507, 508  (described and figured as 74.XXIII.1.JMD and 74.XXIII.2.JMD, respectively, in Dutuit (1976))","Locality XXII, Tikida",,Argana Basin,MA,Marrakech-Tensift-Al Haouz,,outcrop,6.04,13.34,707,Ikakern,,Tourbihine,terrestrial indet.,body,terrestrial
814095,occ,89607,Arganaceras vacanti,species,135371,Wuchiapingian,,259.9,254.17,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Arganaceras,1,individuals,-9.089167,30.825832,MNHN ARG 518 (type),"Locality XXII, Tikida",,Argana Basin,MA,Marrakech-Tensift-Al Haouz,,outcrop,6.04,13.34,707,Ikakern,,Tourbihine,terrestrial indet.,body,terrestrial
814096,occ,89607,Diplocaulus minimus,species,147909,Wuchiapingian,,259.9,254.17,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Diplocaulidae,Diplocaulus,3,individuals,-9.089167,30.825832,"MNHN ARG 500 (syntype), ARG 501 (holotype), 502","Locality XXII, Tikida",,Argana Basin,MA,Marrakech-Tensift-Al Haouz,,outcrop,6.04,13.34,707,Ikakern,,Tourbihine,terrestrial indet.,body,"brackish,freshwater,terrestrial"
814159,occ,89626,Australothyris smithi,species,147935,Capitanian,,265.1,259.9,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Australothyris,1,individuals,21.225,-32.108334,SAM-PK-K8302 (type),Beukesplaas,,"Gannakraal 422, near Fraserburg",ZA,Northern Cape,Karoo Hoogland,outcrop,-27.7,-52.15,701,Abrahamskraal,Beaufort,,"""floodplain""",body,terrestrial
814160,occ,89626,Microvaranops parentis,species,371903,Capitanian,,265.1,259.9,Chordata,Osteichthyes,Cotylosauria,Varanopidae,Microvaranops,5,individuals,21.225,-32.108334,SAM-PK-K8305 (suite of 5 individuals),Beukesplaas,,"Gannakraal 422, near Fraserburg",ZA,Northern Cape,Karoo Hoogland,outcrop,-27.7,-52.15,701,Abrahamskraal,Beaufort,,"""floodplain""",body,terrestrial
814161,occ,28854,Deltavjatia rossicus,species,53171,Early Severodvinian,,265,252.3,Chordata,Reptilia,NO_ORDER_SPECIFIED,Pareiasauridae,Deltavjatia,9,individuals,48.351665,58.150002,"PIN 2212/1 (type); catalogue number given in Lee (1997); taxon referred to as ""Pareiasaurus viatkensis"" in Olson (1957); PIN 2212/6; UMZC T1321; KPM unnumbered, KPM N11/99 (a neonate, reported by Kordikova & Khlyupin, 2001); for repository of additional material see comments on taxonomic list","Kotelnich, Vjatka River (""Sarmin"" series), PIN 2212",,"Kotel'nich; Volki, Volky; Vanyushonki",RU,Kirov,Kotelnich,outcrop,49.9,37.54,302,Urpalov,Kotelnich,Vanyushonki,terrestrial indet.,"body,mold/impression,concretion",terrestrial
814162,occ,28854,Dvinosaurus,genus,37145,Early Severodvinian,,265,252.3,Chordata,Osteichthyes,Temnospondyli,Dvinosauridae,Dvinosaurus,,,48.351665,58.150002,,"Kotelnich, Vjatka River (""Sarmin"" series), PIN 2212",,"Kotel'nich; Volki, Volky; Vanyushonki",RU,Kirov,Kotelnich,outcrop,49.9,37.54,302,Urpalov,Kotelnich,Vanyushonki,terrestrial indet.,"body,mold/impression,concretion","brackish,freshwater,terrestrial"
814375,occ,80783,Sphenacodon britannicus,species,147996,Asselian,,298.9,295.5,Chordata,Osteichthyes,Cotylosauria,Sphenacodontidae,Sphenacodon,1,individuals,-1.575,52.375,GSM 22893 + 22894 (part and counterpart),Kenilworth,,,UK,England,Warwickshire,small collection,13.51,6.65,315,Kenilworth Sandstone,Warwickshire,,fluvial indet.,body,terrestrial
814377,occ,89649,Ophiacodon,genus,38888,Asselian,,298.9,295.5,Chordata,Osteichthyes,Cotylosauria,Ophiacodontidae,Ophiacodon,1,specimens,-1.519444,52.413891,Gz 41,Coventry,,,UK,England,Warwickshire,hand sample,13.54,6.7,315,Kenilworth Sandstone,Warwickshire,,fluvial indet.,body,terrestrial
814503,occ,89650,Anningia megalops,species,148038,Capitanian,,265.1,259.9,Chordata,Osteichthyes,Cotylosauria,Varanopidae,Anningia,1,individuals,22.016666,-32.966667,TMP N. 4024 (type),Bloukrans (Prince Albert District),,"Bloukrantz, Blaaukranz",ZA,Western Cape,Prince Albert,small collection,-28.6,-53.09,701,Abrahamskraal,Beaufort,,terrestrial indet.,body,terrestrial
814504,occ,85733,Cricotus crassidiscus,species,309860,Artinskian,Kungurian,290.1,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Archeriidae,Cricotus,,,-98.59861,34.295834,,Deep Red Run,,"Deep Red Creek; Cope's ""Indian Territory""",US,Oklahoma,Cotton,outcrop,-29.65,-0.67,101,Garber,Sumner,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
814505,occ,85733,Eryops megacephalus,species,70397,Artinskian,Kungurian,290.1,272.3,Chordata,Osteichthyes,Temnospondyli,Eryopidae,Eryops,,,-98.59861,34.295834,,Deep Red Run,,"Deep Red Creek; Cope's ""Indian Territory""",US,Oklahoma,Cotton,outcrop,-29.65,-0.67,101,Garber,Sumner,,terrestrial indet.,body,"brackish,freshwater,terrestrial"
814506,occ,85733,Dimetrodon macrospondylus,species,138122,Artinskian,Kungurian,290.1,272.3,Chordata,Osteichthyes,Cotylosauria,Sphenacodontidae,Dimetrodon,,,-98.59861,34.295834,,Deep Red Run,,"Deep Red Creek; Cope's ""Indian Territory""",US,Oklahoma,Cotton,outcrop,-29.65,-0.67,101,Garber,Sumner,,terrestrial indet.,body,terrestrial
814507,occ,85733,Dimetrodon dollovianus,species,138126,Artinskian,Kungurian,290.1,272.3,Chordata,Osteichthyes,Cotylosauria,Sphenacodontidae,Dimetrodon,,,-98.59861,34.295834,,Deep Red Run,,"Deep Red Creek; Cope's ""Indian Territory""",US,Oklahoma,Cotton,outcrop,-29.65,-0.67,101,Garber,Sumner,,terrestrial indet.,body,terrestrial
814508,occ,85733,Dimetrodon macrospondylus,species,138122,Artinskian,Kungurian,290.1,272.3,Chordata,Osteichthyes,Cotylosauria,Sphenacodontidae,Dimetrodon,,,-98.59861,34.295834,,Deep Red Run,,"Deep Red Creek; Cope's ""Indian Territory""",US,Oklahoma,Cotton,outcrop,-29.65,-0.67,101,Garber,Sumner,,terrestrial indet.,body,terrestrial
814509,occ,85733,Edaphosaurus cruciger,species,138134,Artinskian,Kungurian,290.1,272.3,Chordata,Osteichthyes,Cotylosauria,Edaphosauridae,Edaphosaurus,,,-98.59861,34.295834,,Deep Red Run,,"Deep Red Creek; Cope's ""Indian Territory""",US,Oklahoma,Cotton,outcrop,-29.65,-0.67,101,Garber,Sumner,,terrestrial indet.,body,terrestrial
815480,occ,89845,Broomia perplexa,species,148125,Capitanian,,265.1,259.9,Chordata,Reptilia,NO_ORDER_SPECIFIED,Millerettidae,Broomia,1,individuals,26.394444,-33.063332,BP/1/6222,The Grant,,,ZA,Eastern Cape,Makana,hand sample,-26.46,-56.55,701,Koonap,Beaufort,,delta plain,"body,mold/impression",terrestrial
815481,occ,13004,Broomia perplexa,species,148125,Capitanian,,265.1,259.9,Chordata,Reptilia,NO_ORDER_SPECIFIED,Millerettidae,Broomia,1,specimens,22,-32.366669,BMNH R4065 (type),Hottentotsrivier Farm,,"Hottentots River, Hottentot's River",ZA,Western Cape,Beaufort West,outcrop,-27.68,-52.85,701,Abrahamskraal,Beaufort,,"""floodplain""","body,mold/impression",terrestrial
816651,occ,89859,Milleretta rubidgei,species,121354,Wuchiapingian,Changhsingian,259.9,252.17,Chordata,Reptilia,NO_ORDER_SPECIFIED,Millerettidae,Milleretta,1,individuals,23.894444,-32.152779,BP/1/2876,Beeldhouersfontein,,,ZA,Western Cape,Central Karoo,outcrop,-18.83,-51.42,701,Balfour,Beaufort,,terrestrial indet.,"body,concretion",terrestrial
816682,occ,89863,Millerosaurus nuffieldi,species,148173,Wuchiapingian,Changhsingian,259.9,252.17,Chordata,Reptilia,NO_ORDER_SPECIFIED,Millerettidae,Millerosaurus,1,individuals,24.192778,-32.060833,"""T.663 ex BP.I.39""","Katbosch, Graaff-Reinet",,Katbos,ZA,Eastern Cape,Camdeboo,outcrop,-18.5,-51.59,701,Balfour,Beaufort,,terrestrial indet.,body,terrestrial
816977,occ,88394,Afrothyra,unranked clade,371901,Capitanian,,265.1,259.9,Chordata,Osteichthyes,Cotylosauria,Varanopidae,,1,individuals,22.378332,-31.135,BP/1/5678,Alarmkraal,,,ZA,Northern Cape,Kareeberg,small collection,-25.6,-52.67,701,Abrahamskraal,Beaufort,,"""floodplain""",body,terrestrial
